1,Igor,Kaleeva,79866390590,2222222@yandex.ru 
2,Denis,Usenko,79188637097,11111@gmail.com 
3,Anna,Petrenko,79440183858,44444444@gmail.com 
4,Lina,Usenko,79834577954,12121212121@yandex.ru 
5,Roma,Fomenko,79553908516,88888888@mail.ru 
6,Natasha,Fomenko,79470642830,3434343434@yandex.ru 
7,Roma,Krasota,79152737115,88888888@mail.ru 
8,Natasha,Krasota,79927091719,666666666@mail.ru 
9,Roma,Petrenko,79053236446,11111@gmail.com 
10,Lina,Nebozenko,79645034685,5555555@gmail.com 
11,Roma,Morozov,79656747045,5555555@gmail.com 
12,Lana,Fomenko,79607877983,2222222@yandex.ru 
13,Igor,Ivanov,79617435214,44444444@gmail.com 
14,Denis,Nebozenko,79648400321,232323232@yandex.ru 
15,Roma,Morozov,79029223294,2222222@yandex.ru 
16,Igor,Petrenko,79255504688,11111@gmail.com 
17,Natasha,Petrenko,79081023216,99999999@yandex.ru 
18,Lana,Nebozenko,79834176198,666666666@mail.ru 
19,Igor,Usenko,79908278006,88888888@mail.ru 
20,Roma,Zinchenko,79365810835,99999999@yandex.ru 
21,Igor,Krasota,79792525428,3434343434@yandex.ru 
22,Kate,Nebozenko,79097385646,77777777@mail.ru 
23,Anna,Petrenko,79921122697,44444444@gmail.com 
24,Roma,Fomenko,79487954879,12121212121@yandex.ru 
25,Anna,Ivanov,79814775614,44444444@gmail.com 
26,Kate,Krasota,79706740672,12121212121@yandex.ru 
27,Natasha,Krasota,79053529289,99999999@yandex.ru 
28,Lina,Petrenko,79607364442,666666666@mail.ru 
29,Natasha,Vitek,79571012155,232323232@yandex.ru 
30,Denis,Fomenko,79499297518,232323232@yandex.ru 
31,Roma,Usenko,79132635799,88888888@mail.ru 
32,Lina,Petrenko,79854872565,11111@gmail.com 
33,Roma,Krasota,79157357989,88888888@mail.ru 
34,Natasha,Fomenko,79758285920,5555555@gmail.com 
35,Roma,Nebozenko,79001362361,333333@mail.ru 
36,Natasha,Fomenko,79842618936,2222222@yandex.ru 
37,Roma,Zinchenko,79886738948,88888888@mail.ru 
38,Roma,Usenko,79940181579,5555555@gmail.com 
39,Natasha,Nebozenko,79954477891,2222222@yandex.ru 
40,Dima,Fomenko,79001548641,12121212121@yandex.ru 
41,Lina,Kaleeva,79555613914,77777777@mail.ru 
42,Igor,Nebozenko,79284825161,666666666@mail.ru 
44,Roma,Zinchenko,79479114644,12121212121@yandex.ru 
45,Kate,Kushnir,79669483802,44444444@gmail.com 
46,Denis,Nebozenko,79654409148,88888888@mail.ru 
47,Anna,Kushnir,79717031662,12121212121@yandex.ru 
48,Natasha,Nebozenko,79807163379,666666666@mail.ru 
49,Natasha,Fomenko,79114289044,12121212121@yandex.ru 
50,Denis,Kushnir,79045678923,666666666@mail.ru 
51,Boris,Kudesov,78093451234,gheghreg@gmail.com
